,Defect,Charge,Formation Energy (eV),Concentration (cm^-3),Charge State Population,Total Concentration (cm^-3),Fermi Level,Electrons (cm^-3),Holes (cm^-3),Annealing Temperature,Quenched Temperature
5,Cd_i_Td_Cd2.83,2,1.612,129.27560779870814,50.0%,258.5848956019759,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
6,Cd_i_Td_Cd2.83,1,1.63,129.30928770758283,50.0%,258.5848956019759,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
7,Cd_i_Td_Cd2.83,0,2.156,9.568495735904278e-08,0.0%,258.5848956019759,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
8,Cd_i_Td_Te2.83,2,1.129,555968303.7820487,100.0%,555968304.6839472,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
9,Cd_i_Td_Te2.83,1,1.67,0.9018984597630119,0.0%,555968304.6839472,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
10,Cd_i_Td_Te2.83,0,2.471,1.5957675095849113e-14,0.0%,555968304.6839472,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
11,Te_Cd,2,5.303,1.1923646641898813e-53,0.0%,1.6316834102675046e-30,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
12,Te_Cd,1,4.511,1.9257829800117757e-39,0.0%,1.6316834102675046e-30,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
13,Te_Cd,0,3.962,1.6316834083249556e-30,100.0%,1.6316834102675046e-30,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
14,Te_Cd,-1,4.662,1.6765877728204746e-41,0.0%,1.6316834102675046e-30,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
15,Te_Cd,-2,5.296,1.9115304839203166e-52,0.0%,1.6316834102675046e-30,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
16,Te_i_Td_Te2.83,2,4.467,1.4184378280980495e-41,0.0%,1.3618416792033657e-18,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
17,Te_i_Td_Te2.83,1,3.676,2.7938615474678858e-28,0.0%,1.3618416792033657e-18,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
18,Te_i_Td_Te2.83,0,3.099,1.3618416789239795e-18,100.0%,1.3618416792033657e-18,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
19,Te_i_Td_Te2.83,-1,4.886,2.5627258248884928e-48,0.0%,1.3618416792033657e-18,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
20,Te_i_Td_Te2.83,-2,7.196,2.0292619478411445e-87,0.0%,1.3618416792033657e-18,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
21,v_Cd,0,3.15,1.1756986769554797e-23,0.0%,1.855729763165037e-12,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
22,v_Cd,-1,2.866,9.144199672180887e-19,0.0%,1.855729763165037e-12,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
23,v_Cd,-2,2.437,1.855728848733313e-12,100.0%,1.855729763165037e-12,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
24,v_Te,2,1.297,3258516.1598890945,100.0%,3258516.2786778905,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
25,v_Te,1,2.16,2.1004054009414223e-08,0.0%,3258516.2786778905,0.8263387443828782,1127780482.8818743,9326451.78331751,380.0,300.0
